Project:,PALACIOS CARIBBEAN,,,,,,,,,,,,,,,,,,,,,,,,,
Material Details Date:,1/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Components,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Quantity,Plies,Board Feet/Truss,Board Feet Total,Linear Feet/Truss,Linear Feet Total,Lumber Pieces/Truss,Lumber Pieces Total,Lumber Cost/Truss,Lumber Cost Total,Plate Count/Truss,Plate Count Total,Plates Cost/Truss,Plates Cost Total,Connector Count/Truss,Connector Count Total,Connector Cost/Truss,Connector Cost Total,Material Cost/Truss,Material Cost Total,Labor Cost/Board Foot,Labor Cost/Linear Foot,Labor Cost/Truss,Labor Cost Total,Total Cost/Truss,Total Cost
AS20 5x6,26,AS20,0.345,5,6,30,$1.04 ,$26.91 ,8.972,780,HG-2 | FT-3C | FT-3D | T-3B | FT-1D,,,,,,,,,,,,,,,
AS20 5x7,34,AS20,0.403,5,7,35,$1.21 ,$41.06 ,13.687,1190,T-3 | T-3A | T-3C | T-5D | T-5B | FT-1C,,,,,,,,,,,,,,,
AS20 5x8,18,AS20,0.46,5,8,40,$1.38 ,$24.84 ,8.281,720,FT-3D | T-3,,,,,,,,,,,,,,,
AS20 5x9,4,AS20,0.518,5,9,45,$1.55 ,$6.21 ,2.07,180,FT-3A | FT-3B,,,,,,,,,,,,,,,
AS20 6x10,6,AS20,0.69,6,10,60,$2.07 ,$12.42 ,4.141,360,HG-2 | FT-5B,,,,,,,,,,,,,,,
AS20 6x12,2,AS20,0.828,6,12,72,$2.48 ,$4.97 ,1.656,144,FT-3A,,,,,,,,,,,,,,,
AS20 6x14,4,AS20,0.966,6,14,84,$2.90 ,$11.59 ,3.865,336,T-3A,,,,,,,,,,,,,,,
AS20 6x6,6,AS20,0.414,6,6,36,$1.24 ,$7.45 ,2.484,216,FT-3C | FT-5C | GT-5,,,,,,,,,,,,,,,
AS20 6x7,10,AS20,0.483,6,7,42,$1.45 ,$14.49 ,4.831,420,EJ-1 | FT-1B | FT-1E,,,,,,,,,,,,,,,
AS20 6x8,12,AS20,0.552,6,8,48,$1.66 ,$19.88 ,6.625,576,FT-3B | T-3A | T-5 | GT-5 | FT-1A,,,,,,,,,,,,,,,
AS20 7x8,24,AS20,0.644,7,8,56,$1.93 ,$46.38 ,15.459,1344,FT-3D | T-3 | FT-5E | FT-5D,,,,,,,,,,,,,,,
AS20 8x10,14,AS20,0.92,8,10,80,$2.76 ,$38.65 ,12.882,1120,T-3C | FT-1A | FT-1B | FT-1C | FT-1D | FT-1E,,,,,,,,,,,,,,,
AS20 8x12,6,AS20,1.104,8,12,96,$3.31 ,$19.88 ,6.625,576,FT-5E | FT-5D | FT-5C,,,,,,,,,,,,,,,
AS20 8x8,20,AS20,0.736,8,8,64,$2.21 ,$44.17 ,14.723,1280,FT-3C | T-3 | FT-5C,,,,,,,,,,,,,,,
Total,1910,2 types,,,,,,"$1,617.76 ",683.515764,54838,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumber,,,,,,,,,,,,,,,,,,,,,,,,,,
